original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,z_moment_1,z_moment_2,z_moment_3,z_moment_4,z_moment_5,z_moment_6,z_moment_7,z_moment_8,z_moment_9,z_moment_10,z_moment_11,z_moment_12,z_moment_13,z_moment_14,z_moment_15,z_moment_16,z_moment_17,z_moment_18,z_moment_19,z_moment_20,z_moment_21,z_moment_22,z_moment_23,z_moment_24,z_moment_25,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7,Image_Name,year,genus,length,family,order,quality,method
0.4457206526389565,3381.763587402024,3501.7597004934532,3953996.5,1507.3218732474888,46124.78214089935,0.01166535735196,3954665.0,0.1528230082782569,0.318309886196688,0.0065489858583739,0.4387629432665521,0.1697696884167309,0.0362014743532975,0.0174185242633486,0.1638173902338009,0.2197672230630969,0.1083212881907284,0.0293726434500305,0.0155659478996368,0.0326912888123782,0.0074169072548666,0.0282499413176137,0.1247817851861249,0.074109477162389,0.0174371713168781,0.0241490794639784,0.0081159256699436,0.0381023085912903,0.0808888512191245,0.0904613524727786,0.0103768366751488,0.0654714377375914,0.0546291792439859,0.2172584402100468,0.021243584349622,0.0002846658899239,8.786697423706078e-05,1.3896524890824948e-08,1.2806763734151446e-05,-3.393302530087933e-12,Tripneustes gratilla Reunov_Hodgson_1994.jpg,1994.0,Tripneustes,3.5,Toxopneustidae,Camarodonta,H,TEM
0.3602845610491633,4484.230840915464,4517.281040626098,5163397.0,1615.599140162348,58057.79872853688,0.0112441090097346,5163876.0,0.1387433337509902,0.3183098861861078,0.0236101915222713,0.489846884099273,0.170844157079109,0.1083835084864289,0.0378140537309539,0.2569682486082342,0.2905724289220238,0.0963979269833693,0.0012610185677215,0.0143319408379529,0.0671304134657703,0.0989084390478191,0.1821242568994455,0.1365138271241474,0.0655952815008754,0.0944163732327779,0.0047768919137931,0.0681415643519183,0.0697674849080582,0.0793638662479138,0.0136356456181649,0.0886191297452871,0.0545459493436919,0.0556019880637957,0.2762959922318256,0.0455185728898638,0.0052022969734532,0.0022153370924612,7.520683139276292e-06,0.0004726434021207,1.3961412000771692e-09,Paracentrotus lividus Zentgraf_et_al_1984.jpg,1984.0,Paracentrotus,4.5,Parechinidae,Camarodonta,H,TEM
0.0550036919952323,32965.11683105107,26013.816713431344,22518166.0,1813.2031327619816,314693.0370221902,0.0139750740367661,22516442.0,0.0534545042903693,0.3183098862624056,0.0841067945393108,0.396318614622306,0.2768579547137666,0.3084990497657304,0.0057959408191605,0.06179668116584,0.5476748418138597,0.2050392734377172,0.0992397585893835,0.2890771200804166,0.0544447536407989,0.0904355853189143,0.5145796312641239,0.4503017399417307,0.1606815450883166,0.2464336197243227,0.3990650393691288,0.1602940125049694,0.0875863493962238,0.1913543438854779,0.1553550032205529,0.6476007761006951,0.3245791546509099,0.1377728695932417,3.391801306710216,11.3698452644359,14.380560934010708,13.932141566628816,197.2035512290068,46.97806800060605,-0.0014353817073251,Aspidodiadema jacobyi Eckelbarger_et_al_1989.jpg,1989.0,Aspidodiadema,26.0,Aspidodiadematidae,Aspidodiadematoida,H,LM
0.3902339297318515,4870.380982587454,5016.214608646644,6685477.5,1900.5879101263788,68979.08948617344,0.0103177505998896,6685794.0,0.132878185895548,0.3183098861668695,0.0213958652139223,0.493116667403906,0.1611210057001332,0.1061376913363399,0.0395853298710447,0.2504922655822819,0.2638039860650679,0.0942029407098682,0.0097098471620381,0.0006470838183152,0.0616323794520867,0.0617181550430904,0.1445014841543218,0.129259387992612,0.0669398886891229,0.0852602949596612,0.0308859985954956,0.0569056155516404,0.0629352790282498,0.0227107141634573,0.0503257662456085,0.0705329176082937,0.0622872235409028,0.0564179388887543,0.2563493229625498,0.0357129582536621,0.004047261504334,0.0016684455325218,4.335594408832823e-06,0.0003153005276827,-1.7569055350454142e-09,Phrissocystis multispina Eckelbarger_1994.jpg,1994.0,Phrissocystis,5.0,Macropneustidae,Spatangoida,H,TEM
0.2322445354208782,6513.279066985207,6008.724323847783,7172891.0,1512.6734709785107,72238.72144620461,0.0100710747516175,7173388.0,0.131426213857791,0.3183098861660361,0.0217419836721594,0.4140906620268443,0.2399269011303741,0.0923730403477429,0.0186115586420255,0.2314150063453388,0.3614203114982985,0.1729134418009986,0.037103036830868,0.0747499543152482,0.0533424938223634,0.234710541450824,0.2265887822135277,0.2636979636734696,0.1250003676007068,0.0327934926301234,0.0017923024373426,0.0143979554238181,0.0711606512561815,0.2271387422577046,0.1245176852282064,0.1881293535674859,0.164233296438687,0.0944314695634102,0.3927823533568081,0.1247814813814436,0.0052436020463291,0.003005108025921,1.192902543836588e-05,0.0010615362648546,-4.435249527811767e-09,Calocidaris micans Eckelbarger_et_al_1989.jpg,1989.0,Calocidaris,6.0,Cidaridae,Cidaroida,H,LM
0.3939423690680458,4353.948933372816,4307.733046510659,5759747.5,1715.2049576141787,54279.28956816432,0.0094239008859614,5760276.0,0.1567373499740326,0.3183098861938522,0.0110953525876656,0.4168486347731824,0.1929101136193055,0.0514938330247949,0.0210660214450837,0.1820469560384711,0.2357211670195096,0.1293313427533078,0.0305186346742993,0.0169646629605404,0.0391852780605464,0.064749340118868,0.0511328084527422,0.1404743774288927,0.0874941486119363,0.0144734704787791,0.0456449617773633,0.0062056252816351,0.0464465691760023,0.0532211391677183,0.0479800628347256,0.0013348268901783,0.074105646272897,0.0588779450217976,0.2386136525207124,0.030660176532876,0.0006319572523733,0.000220948011973,8.256173450339047e-08,3.868797829518827e-05,7.727011896569122e-11,Strongylocentrotus purpuratus Decker_Lennarz_1979.jpg,1979.0,Strongylocentrotus,4.3,Strongylocentrotidae,Camarodonta,M,TEM
0.2929689361117025,3264.1907890087796,3402.1524069329994,2248209.0,956.3065027215208,39857.76677874716,0.0177286750381068,2248712.0,0.1333553094183735,0.318309886172143,0.0194912370186343,0.5333387554435984,0.1728221241122192,0.1126082204837065,0.0292742107418968,0.3514278360567364,0.3329543776872229,0.1079785846370721,0.040217947654357,0.0369747120548474,0.0529792879770393,0.1921012889028285,0.2813585960409271,0.1989345349295159,0.0780349914382069,0.0655283500459835,0.0318954533226279,0.0269859062852998,0.0601776478551815,0.1650334114373626,0.0937110499310864,0.1975341740174765,0.1162323315183213,0.064910318216546,0.3232881770550287,0.0743758315927383,0.0075804717680624,0.0044897964294139,2.6193171504627735e-05,0.0012244541847102,4.386056460514901e-09,Paracentrotus lividus Pictet_1891B.jpg,1891.0,Paracentrotus,3.4,Parechinidae,Camarodonta,M,LM
0.1340551875956583,11421.810935674754,11000.665479869844,13177702.5,1531.1530076640215,130768.71974942872,0.0099234839873967,13177883.0,0.09840584828239,0.318309886284197,0.0146086935708222,0.4684100740926897,0.2341144999938138,0.0719326271676143,0.0079353192176709,0.3352523761156201,0.3995946371866719,0.1834071657205321,0.0139942871452183,0.0762915232304338,0.0287534537592792,0.3602623857412909,0.3192680962863423,0.3428765209500827,0.1477941365008928,0.0077974051326563,0.0235316484084622,0.0576959121921471,0.0445710727469111,0.3535196152060126,0.2763540743627707,0.3113479084520705,0.2866490276096097,0.1222329736581384,0.638183253489242,0.3797602508736467,0.0123556751689242,0.0103838955910762,0.0001176179771389,0.0063990434600296,1.6433056865017227e-08,Heliocidaris erythrogramma Raff_et_al_1990.jpg,1990.0,Heliocidaris,11.0,Echinometridae,Camarodonta,H,TEM
0.3982093489694144,3135.980173774084,3207.147642376322,2839617.5,1248.7766233795692,38029.86187424226,0.0133926001914843,2840022.0,0.1570760986283539,0.3183098861689792,0.0199290728303625,0.4787325398665304,0.1647986594508955,0.10523592628805,0.0437757088128266,0.2265986564770383,0.2612276229002787,0.0950177052592572,0.0038903357257651,0.0056037124374912,0.0646422307823199,0.0472207190757938,0.135640506989887,0.1179350392416389,0.0687715981473886,0.0885270563453155,0.0385958571314453,0.0606012838960364,0.0632093082448969,0.0204732235772844,0.0510144274893937,0.0447322905113745,0.0586713059039978,0.0583294497640657,0.2518832936101586,0.0336894538017731,0.0036453767853863,0.0013758887504717,3.081385455852585e-06,0.0002525395737398,2.6705695456726403e-09,Strongylocentrotus fragilis SDSU (this study).jpg,,Strongylocentrotus,3.2,Strongylocentrotidae,Camarodonta,H,SEM
0.3980459452022821,14694.985565980583,15033.296378372908,62338150.0,5849.279419344635,191509.38727428095,0.0030721057213645,62337332.0,0.1461476444822221,0.3183098864394301,0.0198765025694345,0.4789620470957166,0.164739284591171,0.1052768031125454,0.0438181651797834,0.2269600272874119,0.2612859099555464,0.094998013595593,0.0040954739071251,0.005628669734568,0.0646591175640528,0.0472679649431704,0.1359783231079786,0.1179821229709046,0.0687848687382841,0.0885567167377844,0.0384919246037602,0.0606074833476197,0.0632270621562766,0.0205018143609042,0.0508487558562717,0.0449705686281337,0.0587380851151335,0.0583581369795314,0.2518307917241258,0.0336659284243994,0.003640796625414,0.0013735232442454,3.0715111413906328e-06,0.000252017438661,2.422898390429742e-09,Abatus cordatus Schatt_Feral_1996 5 µm.JPG,1996.0,Abatus,15.0,Schizasteridae,Spatangoida,H,SEM
